"state","communityname","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf"
8,"Lakewoodcity",0.27,0.68,0.23,0.41,0.25,0.52
53,"Tukwilacity",0.27,0.73,0.57,0.15,0.42,0.36
24,"Aberdeentown",0.36,0.58,0.32,0.29,0.49,0.32
34,"Willingborotownship",0.33,0.71,0.36,0.45,0.37,0.39
42,"Bethlehemtownship",0.12,0.65,0.67,0.38,0.42,0.46
6,"SouthPasadenacity",0.1,0.65,0.19,0.77,0.06,0.91
44,"Lincolntown",0.28,0.54,0.44,0.53,0.33,0.49
6,"Selmacity",1,0.26,0.43,0.34,0.71,0.18
21,"Hendersoncity",0.55,0.43,0.59,0.36,0.64,0.29
29,"Claytoncity",0.11,0.44,0.2,1,0.02,0.96
6,"DalyCitycity",0.32,0.62,0.2,0.29,0.35,0.3
36,"RockvilleCentrevillage",0.18,0.51,0.18,0.67,0.13,0.79
25,"Needhamtown",0.24,0.55,0.29,0.73,0.1,0.88
55,"GrandChutetown",0.13,0.76,0.67,0.24,0.42,0.47
6,"DanaPointcity",0.19,0.68,0.28,0.35,0.15,0.61
19,"FortDodgecity",0.32,0.42,0.38,0.48,0.48,0.36
36,"Albanycity",0.37,0.44,0.08,0.73,0.21,0.53
34,"Denvilletownship",0.11,0.68,0.42,0.37,0.21,0.66
18,"Valparaisocity",0.19,0.48,0.36,0.77,0.25,0.56
42,"Rostravertownship",0.72,0.25,0.39,0.35,0.49,0.34
6,"Modestocity",0.59,0.43,0.38,0.41,0.43,0.36
12,"Jacksonvillecity",0.3,0.59,0.18,0.33,0.35,0.38
41,"KlamathFallscity",0.63,0.32,0.45,0.44,0.56,0.34
19,"SiouxCitycity",0.33,0.53,0.43,0.47,0.44,0.33
6,"Delanocity",1,0.22,0.09,0.26,0.32,0.16
8,"Goldencity",0.3,0.56,0.33,0.53,0.31,0.58
6,"Gardenacity",0.35,0.57,0.62,0.23,0.42,0.32
39,"Perrytownship",0.34,0.37,0.78,0.35,0.71,0.25
54,"Beckleycity",0.54,0.13,0.05,0.77,0.18,0.57
9,"EastHamptontown",0.22,0.81,0.52,0.47,0.27,0.57
1,"Cullmancity",0.24,0.27,0.45,0.37,0.5,0.42
19,"DesMoinescity",0.28,0.6,0.28,0.4,0.39,0.34
1,"Auburncity",0.42,0.23,0.19,1,0.25,0.67
51,"Lynchburgcity",0.36,0.38,0.44,0.63,0.43,0.42
6,"FosterCitycity",0.16,0.81,0.28,0.3,0.09,0.73
18,"Evansvillecity",0.45,0.43,0.46,0.43,0.53,0.31
6,"LaVernecity",0.2,0.59,0.36,0.49,0.27,0.57
41,"Woodburncity",0.34,0.19,0.58,0.26,0.67,0.24
40,"Altuscity",0.5,0.45,0.1,0.54,0.29,0.39
34,"Plainsborotownship",0.16,0.98,0.47,0.5,0.1,0.85
34,"LittleEggHarbortownship",0.51,0.35,0.21,0.3,0.35,0.27
44,"EastProvidencecity",0.33,0.49,0.61,0.43,0.59,0.32
1,"Fairfieldcity",0.56,0.33,0.27,0.66,0.45,0.35
6,"Carlsbadcity",0.27,0.6,0.3,0.39,0.18,0.64
34,"Paramusborough",0.18,0.48,0.35,0.42,0.19,0.57
8,"FortCollinscity",0.34,0.56,0.35,0.68,0.21,0.58
34,"Winslowtownship",0.32,0.58,0.28,0.51,0.4,0.44
35,"Artesiacity",0.45,0.3,0.13,0.38,0.54,0.36
8,"Littletoncity",0.26,0.62,0.31,0.47,0.2,0.6
33,"Claremontcity",0.47,0.44,0.72,0.37,0.76,0.31
18,"Kokomocity",0.54,0.41,0.78,0.31,0.6,0.28
6,"Riversidecity",0.44,0.51,0.37,0.45,0.42,0.4
34,"Pennsaukentownship",0.23,0.52,0.4,0.33,0.43,0.35
34,"Medfordtownship",0.24,0.59,0.29,0.55,0.14,0.76
39,"Franklincity",0.53,0.38,0.78,0.17,0.77,0.15
48,"MineralWellscity",0.65,0.24,0.63,0.38,0.64,0.28
6,"Concordcity",0.25,0.69,0.2,0.32,0.26,0.47
53,"Centraliacity",0.44,0.33,0.36,0.3,0.54,0.25
1,"Huntsvillecity",0.33,0.57,0.43,0.46,0.23,0.66
34,"Manvilleborough",0.22,0.57,0.62,0.29,0.59,0.22
34,"Hawthorneborough",0.2,0.55,0.43,0.35,0.33,0.53
51,"Stauntoncity",0.18,0.37,0.36,0.6,0.51,0.36
41,"LaGrandecity",0.47,0.38,0.26,0.66,0.52,0.43
4,"CasaGrandecity",0.51,0.48,0.43,0.41,0.55,0.33
6,"Banningcity",0.74,0.08,0.25,0.34,0.5,0.22
6,"ManhattanBeachcity",0.08,0.78,0.46,0.44,0.07,0.98
37,"Gastoniacity",0.31,0.5,0.84,0.23,0.77,0.31
34,"Mahwahtownship",0.21,0.73,0.39,0.4,0.13,0.71
34,"PerthAmboycity",0.75,0.47,0.76,0.28,1,0.17
36,"Oneidacity",0.23,0.43,0.53,0.5,0.6,0.32
29,"Chesterfieldcity",0.07,0.6,0.46,0.46,0.04,0.86
6,"Petalumacity",0.2,0.66,0.26,0.39,0.33,0.47
19,"CedarFallscity",0.29,0.49,0.31,0.72,0.28,0.45
9,"Guilfordtown",0.18,0.72,0.4,0.62,0.19,0.73
9,"Meridentown",0.3,0.58,0.57,0.39,0.48,0.33
25,"Yarmouthtown",0.51,0.21,0.12,0.34,0.27,0.36
40,"DelCitycity",0.51,0.47,0.3,0.24,0.51,0.25
48,"PortArthurcity",0.89,0.19,0.39,0.4,0.54,0.22
8,"Pueblocity",0.62,0.23,0.28,0.57,0.45,0.34
8,"Auroracity",0.26,0.77,0.19,0.34,0.26,0.44
36,"Yonkerscity",0.4,0.44,0.26,0.55,0.3,0.46
49,"Ogdencity",0.54,0.41,0.41,0.31,0.5,0.35
48,"Vernoncity",0.33,0.32,0.27,0.85,0.51,0.28
39,"Polandtownship",0.23,0.43,0.34,0.55,0.28,0.55
46,"Vermillioncity",0.43,0.42,0.03,1,0.2,0.59
29,"Carthagecity",0.32,0.32,0.78,0.24,0.81,0.27
4,"LakeHavasuCitycity",0.15,0.3,0.25,0.21,0.36,0.27
6,"SealBeachcity",0.12,0.21,0.37,0.56,0.12,0.78
41,"Lebanoncity",0.71,0.29,0.65,0.44,0.69,0.28
6,"Yucaipacity",0.3,0.25,0.18,0.41,0.39,0.35
12,"KeyWestcity",0.12,0.72,0.02,0.22,0.19,0.35
28,"Clintoncity",0.16,0.69,0.19,0.67,0.19,0.59
44,"EastGreenwichtown",0.21,0.57,0.39,0.51,0.14,0.71
41,"Gladstonecity",0.18,0.57,0.32,0.41,0.39,0.41
6,"RohnertParkcity",0.31,0.69,0.28,0.27,0.32,0.35
25,"Maldencity",0.49,0.56,0.3,0.45,0.33,0.45
6,"Eurekacity",0.56,0.34,0.26,0.51,0.38,0.36
19,"Amescity",0.23,0.51,0.08,1,0.18,0.65
9,"Wolcotttown",0.35,0.65,0.64,0.3,0.47,0.35
33,"Manchestercity",0.45,0.59,0.41,0.36,0.42,0.37
40,"Lawtoncity",0.61,0.47,0.19,0.53,0.37,0.44
34,"Wallingtonborough",0.52,0.51,0.63,0.19,0.51,0.35
12,"Hollywoodcity",0.37,0.37,0.2,0.35,0.3,0.37
48,"Amarillocity",0.42,0.52,0.25,0.42,0.4,0.35
46,"Yanktoncity",0.07,0.58,0.44,0.62,0.45,0.36
22,"Bogalusacity",1,0.03,0.36,0.61,0.55,0.25
6,"SanLuisObispocity",0.34,0.4,0.11,0.6,0.21,0.49
42,"WestGoshentownship",0.07,0.74,0.39,0.46,0.25,0.73
48,"ElCampocity",0.53,0.4,0.33,0.36,0.63,0.22
4,"Tucsoncity",0.53,0.43,0.19,0.56,0.28,0.4
12,"BoyntonBeachcity",0.31,0.26,0.14,0.39,0.23,0.37
42,"WestManchestertownship",0.15,0.51,0.66,0.32,0.53,0.37
25,"Eastontown",0.26,0.68,0.3,0.55,0.26,0.57
6,"SantaClaracity",0.24,0.69,0.9,0.24,0.27,0.57
6,"Marysvillecity",0.8,0.27,0.15,0.52,0.42,0.3
34,"WestWindsortownship",0.12,0.68,0.31,0.69,0.05,0.99
6,"Inglewoodcity",0.68,0.52,0.39,0.38,0.46,0.29
42,"Marpletownship",0.09,0.5,0.26,0.57,0.16,0.63
12,"OrmondBeachcity",0.22,0.27,0.17,0.52,0.18,0.63
6,"SantaMonicacity",0.27,0.59,0.19,0.69,0.12,0.81
12,"Davietown",0.26,0.69,0.18,0.32,0.24,0.43
34,"ScotchPlainstownship",0.19,0.63,0.31,0.54,0.15,0.72
39,"Delhitownship",0.13,0.63,0.38,0.41,0.27,0.45
45,"Mauldincity",0.11,0.79,0.68,0.29,0.42,0.57
33,"Keenecity",0.4,0.55,0.45,0.51,0.39,0.44
39,"Oregoncity",0.41,0.44,0.46,0.43,0.54,0.26
42,"LowerPaxtontownship",0.06,0.72,0.19,0.45,0.26,0.59
6,"LomaLindacity",0.26,0.45,0.12,1,0.21,0.75
6,"Watsonvillecity",0.75,0.46,0.36,0.27,0.61,0.19
39,"Dovercity",0.42,0.34,0.6,0.44,0.55,0.4
28,"Natchezcity",0.86,0.19,0.31,0.53,0.37,0.51
25,"Belchertowntown",0.19,0.7,0.36,0.7,0.31,0.5
16,"Caldwellcity",0.4,0.49,0.52,0.31,0.63,0.26
6,"LaMiradacity",0.25,0.57,0.53,0.32,0.38,0.39
34,"Cliftoncity",0.26,0.51,0.54,0.3,0.38,0.42
34,"NewMilfordborough",0.34,0.54,0.32,0.42,0.21,0.52
25,"Wilbrahamtown",0.21,0.58,0.52,0.51,0.22,0.68
6,"Campbellcity",0.16,0.77,0.68,0.31,0.2,0.56
47,"UnionCitycity",0.49,0.35,0.81,0.28,0.84,0.24
6,"Orindacity",0.13,0.49,0.17,0.78,0.05,1
6,"Folsomcity",0.22,0.22,0.25,0.4,0.18,0.66
33,"Salemtown",0.39,0.71,0.63,0.23,0.35,0.45
5,"WestMemphiscity",0.55,0.45,0.3,0.35,0.59,0.28
34,"Vernontownship",0.28,0.69,0.38,0.33,0.3,0.49
6,"Cloviscity",0.35,0.65,0.18,0.47,0.32,0.41
25,"Lowellcity",0.73,0.43,0.69,0.41,0.53,0.33
22,"BatonRougecity",0.62,0.38,0.2,0.65,0.28,0.51
42,"Pottsvillecity",0.46,0.3,0.58,0.47,0.7,0.27
12,"Bartowcity",0.38,0.32,0.38,0.39,0.52,0.29
12,"PlantCitycity",0.31,0.47,0.38,0.28,0.57,0.31
48,"SanAngelocity",0.5,0.49,0.27,0.48,0.42,0.35
