"state","communityname","NumIlleg","PctIlleg","NumImmig","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell"
8,"Lakewoodcity",0.04,0.14,0.03,0.24,0.27,0.37,0.39,0.07,0.07,0.08,0.08,0.89,0.06
53,"Tukwilacity",0,0.24,0.01,0.52,0.62,0.64,0.63,0.25,0.27,0.25,0.23,0.84,0.1
24,"Aberdeentown",0.01,0.46,0,0.07,0.06,0.15,0.19,0.02,0.02,0.04,0.05,0.88,0.04
34,"Willingborotownship",0.03,0.33,0.02,0.11,0.2,0.3,0.31,0.05,0.08,0.11,0.11,0.81,0.08
42,"Bethlehemtownship",0,0.06,0,0.03,0.07,0.2,0.27,0.01,0.02,0.04,0.05,0.88,0.05
6,"SouthPasadenacity",0,0.11,0.04,0.3,0.35,0.43,0.47,0.5,0.5,0.56,0.57,0.45,0.28
44,"Lincolntown",0,0.13,0.01,0,0.02,0.02,0.1,0,0.01,0.01,0.03,0.73,0.05
6,"Selmacity",0.02,0.5,0.02,0.5,0.59,0.65,0.59,0.69,0.72,0.71,0.6,0.12,0.93
21,"Hendersoncity",0.02,0.29,0,0.12,0.09,0.07,0.13,0,0,0,0,0.99,0.01
29,"Claytoncity",0,0.07,0.01,0.41,0.44,0.52,0.48,0.22,0.21,0.22,0.19,0.85,0.03
6,"DalyCitycity",0.05,0.3,0.28,0.36,0.43,0.52,0.57,1,1,1,1,0,0.58
36,"RockvilleCentrevillage",0.01,0.14,0.01,0.11,0.17,0.21,0.27,0.05,0.07,0.08,0.1,0.82,0.08
25,"Needhamtown",0,0.03,0.01,0.25,0.28,0.26,0.25,0.13,0.13,0.11,0.1,0.87,0.05
55,"GrandChutetown",0,0.08,0,0.08,0.06,0.25,0.22,0.01,0,0.02,0.01,0.96,0.05
6,"DanaPointcity",0.01,0.1,0.03,0.69,0.74,0.7,0.69,0.65,0.61,0.53,0.47,0.74,0.32
19,"FortDodgecity",0.01,0.19,0,0.05,0.04,0.03,0.13,0,0,0,0.01,0.95,0.03
36,"Albanycity",0.13,0.73,0.05,0.39,0.39,0.46,0.46,0.21,0.19,0.2,0.18,0.81,0.08
34,"Denvilletownship",0,0.04,0.01,0.15,0.26,0.32,0.3,0.09,0.14,0.15,0.13,0.82,0.04
18,"Valparaisocity",0.01,0.11,0,0.4,0.35,0.37,0.39,0.08,0.06,0.06,0.06,0.95,0.01
42,"Rostravertownship",0,0.06,0,0,0,0,0,0,0,0,0,0.94,0.02
6,"Modestocity",0.08,0.22,0.14,0.31,0.45,0.57,0.64,0.28,0.36,0.41,0.42,0.64,0.35
12,"Jacksonvillecity",0.49,0.35,0.16,0.27,0.34,0.4,0.43,0.07,0.07,0.08,0.08,0.9,0.04
41,"KlamathFallscity",0.01,0.2,0,0.48,0.55,0.59,0.56,0.14,0.14,0.13,0.12,0.9,0.1
19,"SiouxCitycity",0.05,0.26,0.02,0.49,0.59,0.62,0.64,0.11,0.11,0.11,0.1,0.92,0.09
6,"Delanocity",0.03,0.43,0.06,0.36,0.42,0.53,0.6,1,1,1,1,0,1
8,"Goldencity",0,0.07,0,0.79,0.77,0.69,0.61,0.29,0.25,0.2,0.17,0.88,0.03
6,"Gardenacity",0.05,0.49,0.1,0.39,0.47,0.59,0.65,0.8,0.84,0.96,0.97,0.26,0.67
39,"Perrytownship",0,0.06,0,0.18,0.13,0.11,0.09,0.02,0.01,0.01,0.01,0.95,0.01
54,"Beckleycity",0.01,0.29,0,0.1,0.1,0.13,0.14,0.01,0.01,0.01,0.01,0.94,0.03
9,"EastHamptontown",0,0.04,0,0.22,0.16,0.19,0.16,0.04,0.02,0.03,0.02,0.94,0.02
1,"Cullmancity",0,0.05,0,1,0.81,0.87,0.74,0.02,0.01,0.02,0.01,0.98,0.02
19,"DesMoinescity",0.12,0.29,0.04,0.34,0.38,0.45,0.52,0.07,0.07,0.08,0.08,0.91,0.07
1,"Auburncity",0.03,0.69,0.01,1,0.91,0.86,0.8,0.29,0.23,0.2,0.17,0.9,0.05
51,"Lynchburgcity",0.07,0.48,0.01,0.72,0.75,0.67,0.61,0.08,0.08,0.06,0.05,0.96,0.02
6,"FosterCitycity",0,0.07,0.04,0.44,0.48,0.5,0.52,0.7,0.66,0.63,0.6,0.56,0.22
18,"Evansvillecity",0.09,0.32,0.01,0.44,0.42,0.55,0.5,0.03,0.02,0.03,0.02,0.96,0.04
6,"LaVernecity",0.01,0.11,0.02,0.16,0.22,0.3,0.36,0.14,0.16,0.2,0.22,0.68,0.15
41,"Woodburncity",0.01,0.3,0.02,0.66,0.75,0.71,0.71,0.87,0.88,0.75,0.69,0.38,0.79
40,"Altuscity",0.01,0.23,0,0.37,0.41,0.44,0.54,0.08,0.08,0.08,0.09,0.82,0.07
34,"Plainsborotownship",0,0.22,0.01,0.59,0.62,0.74,0.72,0.63,0.58,0.63,0.55,0.71,0.1
34,"LittleEggHarbortownship",0,0.07,0,0,0,0.04,0.05,0,0,0.01,0.01,0.91,0.06
44,"EastProvidencecity",0.01,0.13,0.05,0.17,0.16,0.16,0.22,0.17,0.15,0.14,0.16,0.62,0.31
1,"Fairfieldcity",0.01,0.39,0,0,0.24,0.2,0.63,0,0.01,0.01,0.02,0.95,0.02
6,"Carlsbadcity",0.02,0.17,0.05,0.47,0.5,0.53,0.54,0.42,0.39,0.38,0.35,0.72,0.24
34,"Paramusborough",0,0.06,0.03,0.31,0.42,0.43,0.42,0.39,0.47,0.45,0.4,0.61,0.18
8,"FortCollinscity",0.01,0.11,0.03,0.93,0.85,0.79,0.77,0.29,0.23,0.2,0.17,0.86,0.06
34,"Winslowtownship",0.02,0.34,0,0.19,0.27,0.35,0.3,0.03,0.04,0.05,0.04,0.9,0.07
35,"Artesiacity",0.01,0.27,0,0.35,0.3,0.38,0.37,0.09,0.07,0.08,0.07,0.46,0.35
8,"Littletoncity",0.01,0.09,0.01,0.3,0.37,0.37,0.43,0.06,0.07,0.06,0.07,0.91,0.06
33,"Claremontcity",0.01,0.23,0,0.21,0.19,0.15,0.18,0.05,0.04,0.03,0.03,0.9,0.05
18,"Kokomocity",0.03,0.23,0,0.13,0.13,0.14,0.22,0.01,0.01,0.01,0.02,0.95,0.04
6,"Riversidecity",0.14,0.32,0.23,0.39,0.48,0.53,0.59,0.42,0.46,0.46,0.47,0.57,0.38
34,"Pennsaukentownship",0.02,0.27,0.01,0.09,0.13,0.2,0.29,0.03,0.03,0.05,0.06,0.84,0.07
34,"Medfordtownship",0,0.05,0,0.07,0.13,0.14,0.13,0.02,0.03,0.03,0.02,0.92,0.03
39,"Franklincity",0,0.12,0,0.29,0.22,0.18,0.27,0.01,0.01,0.01,0.01,0.97,0.02
48,"MineralWellscity",0.01,0.22,0,0.25,0.33,0.36,0.51,0.07,0.09,0.09,0.11,0.81,0.09
6,"Concordcity",0.03,0.13,0.11,0.46,0.54,0.62,0.63,0.45,0.47,0.49,0.45,0.69,0.2
53,"Centraliacity",0,0.14,0,0.04,0.32,0.36,0.35,0.01,0.06,0.06,0.06,0.92,0.06
